JUGADOR: jugador            
Ganador: jugador   
Puntaje de jugador: 12
Puntaje de Maquina: 6
Listado de turnos:
Turno: 054	Carta Jugada: +2     	Jugador: jugador            
Turno: 054	Carta Jugada: -1     	Jugador: Maquina            
Turno: 055	Carta Jugada: +1     	Jugador: jugador            
Turno: 055	Carta Jugada: +1     	Jugador: Maquina            
Turno: 056	Carta Jugada: +1     	Jugador: jugador            
Turno: 056	Carta Jugada: -1     	Jugador: Maquina            
Turno: 057	Carta Jugada: -1     	Jugador: jugador            
Turno: 057	Carta Jugada: -2     	Jugador: Maquina            
Turno: 058	Carta Jugada: -1     	Jugador: jugador            
Turno: 058	Carta Jugada: +1     	Jugador: Maquina            
Turno: 059	Carta Jugada: Repite 	Jugador: jugador            
Turno: 059	Carta Jugada: -1     	Jugador: jugador            
Turno: 060	Carta Jugada: +1     	Jugador: Maquina            
Turno: 060	Carta Jugada: +1     	Jugador: jugador            
Turno: 061	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 061	Carta Jugada: +2     	Jugador: Maquina            
Turno: 062	Carta Jugada: -1     	Jugador: jugador            
Turno: 062	Carta Jugada: -2     	Jugador: Maquina            
Turno: 063	Carta Jugada: Repite 	Jugador: jugador            
Turno: 063	Carta Jugada: Repite 	Jugador: jugador            
Turno: 064	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 064	Carta Jugada: +1     	Jugador: Maquina            
Turno: 065	Carta Jugada: +1     	Jugador: jugador            
Turno: 065	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 066	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 066	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 067	Carta Jugada: +1     	Jugador: Maquina            
Turno: 067	Carta Jugada: +1     	Jugador: jugador            
Turno: 068	Carta Jugada: -2     	Jugador: Maquina            
Turno: 068	Carta Jugada: +2     	Jugador: jugador            
Turno: 069	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 069	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 070	Carta Jugada: +2     	Jugador: Maquina            
Turno: 070	Carta Jugada: Repite 	Jugador: jugador            
Turno: 071	Carta Jugada: +1     	Jugador: jugador            
Turno: 071	Carta Jugada: -1     	Jugador: Maquina            
Turno: 072	Carta Jugada: -2     	Jugador: jugador            
Turno: 072	Carta Jugada: +1     	Jugador: Maquina            
Turno: 073	Carta Jugada: +2     	Jugador: jugador            
Turno: 073	Carta Jugada: -1     	Jugador: Maquina            
Turno: 074	Carta Jugada: -1     	Jugador: jugador            
Turno: 074	Carta Jugada: +2     	Jugador: Maquina            
Turno: 075	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 075	Carta Jugada: +1     	Jugador: Maquina            
Turno: 076	Carta Jugada: -1     	Jugador: jugador            
Turno: 076	Carta Jugada: -2     	Jugador: Maquina            
Turno: 077	Carta Jugada: -1     	Jugador: jugador            
Turno: 077	Carta Jugada: -2     	Jugador: Maquina            
Turno: 078	Carta Jugada: -1     	Jugador: jugador            
Turno: 078	Carta Jugada: +2     	Jugador: Maquina            
Turno: 079	Carta Jugada: +1     	Jugador: jugador            
Turno: 079	Carta Jugada: +1     	Jugador: Maquina            
Turno: 080	Carta Jugada: -2     	Jugador: jugador            
Turno: 080	Carta Jugada: -1     	Jugador: Maquina            
Turno: 081	Carta Jugada: -2     	Jugador: jugador            
Turno: 081	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 082	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 082	Carta Jugada: +2     	Jugador: Maquina            
Turno: 083	Carta Jugada: -2     	Jugador: jugador            
Turno: 083	Carta Jugada: -1     	Jugador: Maquina            
Turno: 084	Carta Jugada: +2     	Jugador: jugador            
Turno: 084	Carta Jugada: -1     	Jugador: Maquina            
Turno: 085	Carta Jugada: -2     	Jugador: jugador            
Turno: 085	Carta Jugada: -2     	Jugador: Maquina            
Turno: 086	Carta Jugada: +1     	Jugador: jugador            
Turno: 086	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 087	Carta Jugada: +2     	Jugador: jugador            
Turno: 087	Carta Jugada: +2     	Jugador: Maquina            
Turno: 088	Carta Jugada: +1     	Jugador: jugador            
Turno: 088	Carta Jugada: +1     	Jugador: Maquina            
Turno: 089	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 089	Carta Jugada: -1     	Jugador: Maquina            
Turno: 090	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 090	Carta Jugada: +1     	Jugador: Maquina            
Turno: 091	Carta Jugada: -2     	Jugador: jugador            
Turno: 091	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 092	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 092	Carta Jugada: +1     	Jugador: jugador            
Turno: 093	Carta Jugada: -1     	Jugador: Maquina            
Turno: 093	Carta Jugada: Repite 	Jugador: jugador            
Turno: 094	Carta Jugada: +2     	Jugador: jugador            
Turno: 094	Carta Jugada: +1     	Jugador: Maquina            
Turno: 095	Carta Jugada: +1     	Jugador: jugador            
Turno: 095	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 096	Carta Jugada: -1     	Jugador: Maquina            
Turno: 096	Carta Jugada: -2     	Jugador: jugador            
Turno: 097	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 097	Carta Jugada: +1     	Jugador: Maquina            
Turno: 098	Carta Jugada: +1     	Jugador: jugador            
Turno: 098	Carta Jugada: -1     	Jugador: Maquina            
Turno: 099	Carta Jugada: +1     	Jugador: jugador            
Turno: 099	Carta Jugada: +1     	Jugador: Maquina            
Turno: 100	Carta Jugada: Repite 	Jugador: jugador            
Turno: 100	Carta Jugada: +2     	Jugador: jugador            
Turno: 101	Carta Jugada: -2     	Jugador: Maquina            
Turno: 101	Carta Jugada: +2     	Jugador: jugador            
Turno: 102	Carta Jugada: -1     	Jugador: Maquina            
Turno: 102	Carta Jugada: -1     	Jugador: jugador            
Turno: 103	Carta Jugada: -2     	Jugador: Maquina            
Turno: 103	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 104	Carta Jugada: -2     	Jugador: Maquina            
