JUGADOR: a                  
Ganador: Maquina   
Puntaje de a: 7
Puntaje de Maquina: 12
Listado de turnos:
Turno: 055	Carta Jugada: +1     	Jugador: a                  
Turno: 055	Carta Jugada: +2     	Jugador: Maquina            
Turno: 056	Carta Jugada: +1     	Jugador: a                  
Turno: 056	Carta Jugada: -2     	Jugador: Maquina            
Turno: 057	Carta Jugada: +1     	Jugador: a                  
Turno: 057	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 058	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 058	Carta Jugada: -1     	Jugador: a                  
Turno: 059	Carta Jugada: +1     	Jugador: Maquina            
Turno: 059	Carta Jugada: -1     	Jugador: a                  
Turno: 060	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 060	Carta Jugada: -1     	Jugador: Maquina            
Turno: 061	Carta Jugada: +1     	Jugador: a                  
Turno: 061	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 062	Carta Jugada: Espejo 	Jugador: a                  
Turno: 062	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 063	Carta Jugada: +1     	Jugador: Maquina            
Turno: 063	Carta Jugada: +1     	Jugador: a                  
Turno: 064	Carta Jugada: -2     	Jugador: Maquina            
Turno: 064	Carta Jugada: -2     	Jugador: a                  
Turno: 065	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 065	Carta Jugada: +1     	Jugador: a                  
Turno: 066	Carta Jugada: +1     	Jugador: Maquina            
Turno: 066	Carta Jugada: -1     	Jugador: a                  
Turno: 067	Carta Jugada: -2     	Jugador: Maquina            
Turno: 067	Carta Jugada: -2     	Jugador: a                  
Turno: 068	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 068	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 069	Carta Jugada: +1     	Jugador: Maquina            
Turno: 069	Carta Jugada: +1     	Jugador: a                  
Turno: 070	Carta Jugada: -1     	Jugador: Maquina            
Turno: 070	Carta Jugada: +1     	Jugador: a                  
Turno: 071	Carta Jugada: -1     	Jugador: Maquina            
Turno: 071	Carta Jugada: -1     	Jugador: a                  
Turno: 072	Carta Jugada: +2     	Jugador: Maquina            
Turno: 072	Carta Jugada: +2     	Jugador: a                  
Turno: 073	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 073	Carta Jugada: -1     	Jugador: a                  
Turno: 074	Carta Jugada: -1     	Jugador: Maquina            
Turno: 074	Carta Jugada: +2     	Jugador: a                  
Turno: 075	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 075	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 076	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 076	Carta Jugada: -1     	Jugador: Maquina            
Turno: 077	Carta Jugada: -2     	Jugador: a                  
Turno: 077	Carta Jugada: +2     	Jugador: Maquina            
Turno: 078	Carta Jugada: +1     	Jugador: a                  
Turno: 078	Carta Jugada: +2     	Jugador: Maquina            
Turno: 079	Carta Jugada: -1     	Jugador: a                  
Turno: 079	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 080	Carta Jugada: -2     	Jugador: a                  
